show_id,director_id
s1,2533
s3,2323
s6,3163
s7,3917
s7,2290
s8,1646
s9,335
s10,4583
s12,2544
s13,873
s14,695
s17,3579
s17,3472
s19,65
s21,3435
s23,2371
s24,190
s24,4365
s25,4039
s27,3752
s28,1167
s29,4181
s30,3923
s31,454
s31,35
s31,4066
s36,1025
s37,961
s39,1550
s42,4426
s43,1981
s44,2092
s45,2265
s46,4726
s47,1006
s48,706
s49,390
s52,4695
s53,4695
s54,4695
s55,4695
s57,2960
s58,1648
s59,2960
s60,1648
s61,2960
s62,1742
s63,4698
s64,4567
s65,1135
s69,1670
s69,4761
s69,3126
s72,1059
s74,2449
s76,552
s78,3674
s79,1159
s80,1159
s81,4672
s82,762
s85,1839
s85,1477
s87,4594
s89,2865
s91,222
s92,3216
s92,3523
s94,200
s95,3740
s97,4393
s102,782
s102,2774
s103,1923
s104,4922
s106,2680
s108,1138
s111,2742
s111,1947
s113,4136
s114,4391
s115,3725
s116,1909
s117,3264
s118,2754
s119,4243
s120,1840
s123,1909
s127,4786
s128,2923
s129,1569
s130,2608
s131,4178
s132,3878
s134,3315
s135,3646
s136,3823
s137,382
s138,4315
s139,2608
s140,4352
s141,4198
s142,4419
s143,3857
s144,2939
s145,3812
s146,1547
s146,1227
s147,1324
s149,1558
s150,3097
s151,3112
s152,312
s152,139
s153,656
s156,2072
s157,1520
s158,1036
s159,4717
s160,3494
s162,4611
s163,3812
s164,1137
s165,2522
s167,4214
s168,3004
s168,4641
s169,620
s169,3592
s170,4886
s171,3615
s172,3063
s173,3860
s174,273
s175,390
s176,3779
s177,3110
s178,1830
s179,1357
s179,4221
s180,4663
s181,3612
s183,2805
s184,4886
s186,782
s186,2774
s189,3774
s189,4987
s191,4246
s192,4557
s193,4056
s196,4159
s197,2928
s199,2449
s200,3510
s201,4134
s202,353
s202,403
s203,4118
s204,4739
s205,4056
s206,1076
s207,1193
s208,412
s209,3181
s210,3181
s211,3569
s212,587
s215,2787
s216,412
s217,3737
s217,2553
s218,3181
s222,2282
s223,627
s224,3013
s224,4553
s228,343
s229,3969
s230,880
s231,4022
s232,1116
s234,2912
s236,955
s237,3788
s238,3788
s239,3788
s240,3788
s241,1660
s245,2398
s247,4929
s248,659
s250,1055
s251,4770
s252,1230
s253,3145
s254,2821
s256,3084
s257,4700
s258,2821
s259,219
s260,3469
s262,695
s263,2611
s265,4402
s268,1909
s269,3227
s271,1403
s274,2299
s277,1799
s279,2335
s280,4428
s282,789
s283,2336
s284,4078
s285,4808
s286,2237
s288,4067
s291,1429
s293,1239
s294,87
s295,1732
s296,3701
s298,538
s298,3689
s298,2402
s298,4766
s298,2403
s298,442
s298,3788
s298,4149
s298,1528
s299,2424
s300,2348
s301,2530
s301,638
s302,3980
s303,758
s303,2731
s304,155
s305,2612
s306,2855
s307,1826
s308,3621
s309,4483
s311,598
s315,1883
s316,819
s317,1756
s318,2561
s319,1353
s319,3114
s326,666
s327,3955
s328,3940
s329,4642
s330,4426
s331,3630
s331,889
s333,3823
s334,2150
s335,2349
s336,2110
s338,2907
s340,2785
s340,1755
s341,891
s342,3558
s343,3339
s344,1752
s345,1752
s346,1081
s347,1088
s348,2247
s349,4963
s350,1514
s351,917
s352,4712
s353,2446
s354,4651
s355,4689
s356,629
s357,4506
s358,627
s359,1803
s360,4352
s361,1503
s363,2459
s364,1942
s366,3266
s368,4206
s372,3266
s373,2440
s374,1072
s375,3134
s376,4427
s378,1016
s379,2717
s381,1582
s384,3764
s385,1067
s388,2625
s389,4013
s389,3841
s390,4951
s393,3698
s394,910
s395,3247
s396,2863
s397,3618
s399,2516
s403,475
s406,4302
s407,3750
s408,3750
s409,3750
s410,3750
s411,3750
s412,3750
s413,3750
s414,3750
s415,3750
s416,3750
s417,3750
s418,602
s419,433
s419,4296
s420,3750
s421,3750
s422,3750
s422,3462
s423,3750
s424,3750
s425,3750
s427,110
s427,678
s428,2794
s429,2584
s430,4223
s433,2125
s433,310
s433,1444
s434,3222
s437,26
s438,1261
s439,2419
s440,4319
s440,2064
s440,411
s440,4577
s440,75
s442,2648
s444,2744
s445,1502
s446,4328
s447,928
s448,590
s449,590
s450,1129
s451,861
s452,755
s453,1644
s455,4676
s456,1467
s458,3027
s459,165
s461,444
s461,834
s462,131
s463,4649
s464,3942
s464,3497
s465,3302
s468,2837
s469,3835
s470,4207
s472,117
s472,41
s474,4820
s475,3367
s476,1024
s477,2347
s480,2648
s481,1400
s482,1228
s485,2514
s486,484
s487,2044
s487,2487
s490,102
s492,1654
s493,4179
s495,523
s496,4647
s497,725
s499,3514
s501,3417
s502,4223
s503,2792
s504,1905
s506,407
s506,3245
s507,877
s508,4732
s509,4924
s519,1677
s529,3756
s529,1685
s530,4942
s532,4163
s532,3359
s532,2771
s535,3783
s542,3675
s543,3282
s551,2648
s552,4815
s553,3318
s555,3773
s556,624
s557,2518
s558,3119
s558,3614
s559,1338
s560,4886
s561,2985
s562,1959
s563,1959
s564,1959
s565,3558
s567,3032
s568,1454
s569,3339
s570,4783
s571,825
s573,2117
s574,2179
s574,2917
s575,2026
s576,1603
s577,1504
s578,2807
s579,3895
s580,2938
s581,4292
s582,3561
s583,1503
s584,1820
s585,2116
s586,902
s587,2955
s588,4300
s588,44
s588,1191
s588,1785
s588,1924
s590,4706
s592,1490
s593,2070
s594,845
s595,1837
s596,3898
s597,2765
s598,61
s599,392
s600,3947
s601,1083
s602,2144
s603,2144
s604,2144
s605,140
s606,4845
s607,4389
s608,697
s609,3626
s610,1426
s611,2651
s612,3253
s612,608
s613,3529
s614,3929
s615,4811
s616,1620
s617,2954
s619,2991
s620,1867
s622,4269
s623,2977
s624,2255
s625,1864
s627,2138
s630,500
s631,303
s633,3325
s634,4329
s635,357
s636,507
s637,2228
s638,4355
s638,4765
s638,35
s644,2359
s645,2519
s646,4730
s647,2833
s650,407
s651,1966
s652,2521
s653,2521
s655,954
s656,954
s657,954
s665,1413
s667,1818
s671,4938
s671,4934
s672,4938
s672,4934
s673,4938
s677,3900
s682,4306
s684,3139
s686,3562
s688,2403
s689,2424
s690,4938
s690,4934
s691,2440
s693,1756
s694,2734
s695,4346
s696,4346
s699,391
s702,2884
s703,1114
s705,43
s706,3016
s708,4147
s709,3836
s712,3589
s713,3094
s717,1438
s719,1026
s722,3166
s723,1136
s724,3117
s725,2048
s727,2093
s727,692
s728,1774
s728,4251
s729,634
s736,3665
s737,2827
s738,1958
s740,827
s741,3123
s742,2600
s743,512
s743,3271
s744,2920
s746,4546
s747,2920
s748,2459
s751,4949
s753,2928
s755,2998
s757,3931
s758,2224
s759,236
s760,1545
s761,1545
s763,2639
s765,1962
s766,1000
s767,173
s769,1715
s770,154
s770,2305
s771,3250
s772,815
s774,3720
s775,2598
s776,3353
s777,2658
s778,1288
s778,3034
s780,3968
s782,3595
s783,2599
s784,2630
s785,4589
s787,1218
s788,326
s789,1683
s791,309
s792,3833
s793,3899
s794,339
s795,4516
s797,4180
s798,2061
s799,4584
s800,917
s801,477
s802,3086
s803,1886
s804,4528
s805,3138
s807,1734
s808,1734
s809,1218
s810,4637
s811,4845
s812,4397
s813,1213
s815,136
s816,3152
s817,4499
s818,2712
s819,518
s820,917
s822,3129
s823,1304
s824,3599
s825,1551
s827,613
s828,1270
s829,1085
s830,2479
s832,2288
s832,2848
s833,1516
s835,2331
s837,3571
s839,3474
s840,4346
s841,2667
s842,3794
s845,1030
s846,4406
s847,4613
s851,4825
s854,4958
s857,4733
s859,3198
s860,269
s861,881
s862,3674
s864,3934
s865,3181
