show_id,actor_id
s2,1604
s2,18115
s2,11095
s2,33080
s2,8651
s2,24321
s2,3073
s2,35407
s2,11444
s2,6673
s2,29105
s2,11892
s2,30308
s2,25258
s2,22518
s2,29658
s2,9014
s2,30542
s2,26015
s3,29534
s3,33898
s3,29599
s3,23996
s3,31368
s3,29361
s3,25163
s3,11260
s3,3716
s5,22390
s5,15389
s5,27524
s5,882
s5,693
s5,27933
s5,34240
s5,3144
s6,17416
s6,36031
s6,12207
s6,12688
s6,18651
s6,29513
s6,13228
s6,27287
s6,2587
s6,2582
s6,1116
s6,27275
s6,22064
s6,22984
s6,7143
s6,20183
s7,34364
s7,18372
s7,14130
s7,31362
s7,20001
s7,17795
s7,9515
s7,14286
s7,22894
s7,26598
s8,18503
s8,25605
s8,1242
s8,24697
s8,23921
s8,557
s8,27804
s8,23956
s9,22523
s9,32066
s9,21839
s9,26135
s10,22583
s10,6360
s10,18005
s10,33399
s10,7814
s10,31306
s10,19113
s10,28796
s10,18358
s10,20113
s10,27626
s12,32116
s12,32356
s12,26296
s12,29280
s12,32372
s12,4194
s12,8082
s12,35002
s12,18463
s12,200
s12,25108
s12,18464
s12,3016
s12,14616
s12,25752
s12,25753
s12,18754
s12,26672
s12,13597
s12,17660
s12,25742
s12,32255
s12,32042
s12,34785
s12,26785
s13,20485
s13,14357
s13,23268
s13,9218
s13,2517
s13,21687
s13,34535
s13,10707
s13,3624
s13,23964
s13,9524
s14,18478
s14,20271
s14,16941
s14,21261
s14,18416
s14,10592
s14,11031
s14,5141
s14,19523
s14,13910
s16,20037
s16,4642
s16,8109
s16,2749
s16,15815
s16,3224
s16,21695
s16,11472
s18,20372
s18,5231
s18,30387
s18,29481
s18,9265
s18,31534
s18,1009
s18,3617
s18,34228
s18,12047
s18,11056
s18,21277
s19,10935
s19,20045
s19,28423
s19,22452
s19,29876
s19,12513
s19,21642
s19,4631
s19,2807
s19,6827
s20,4440
s20,13652
s20,36367
s20,528
s20,10785
s20,31729
s20,16598
s20,1416
s22,9864
s22,30359
s22,13115
s22,16970
s22,10127
s22,25560
s22,30358
s22,5712
s22,27922
s22,12251
s23,17074
s23,22429
s23,11271
s23,12591
s23,24225
s23,29171
s24,20868
s24,26146
s24,17920
s24,18
s25,26922
s25,750
s25,31672
s25,24225
s26,4927
s27,3162
s27,17042
s27,26872
s27,24225
s27,29171
s27,11592
s28,344
s28,17997
s28,6373
s28,8028
s28,28354
s28,29379
s28,21333
s28,22351
s28,6901
s28,33359
s28,16426
s29,17908
s29,16280
s29,13706
s29,7290
s29,16982
s29,18886
s29,28011
s29,23940
s29,2649
s29,13987
s30,19674
s30,11186
s30,1693
s30,12394
s30,20269
s30,9656
s30,16636
s30,16284
s30,28049
s30,2310
s31,209
s31,28261
s31,8263
s31,18744
s31,36287
s31,24862
s31,25706
s32,19150
s32,28785
s32,28911
s32,15251
s32,13254
s32,15935
s32,22137
s32,4480
s32,23204
s32,17532
s32,6393
s33,3174
